loan_type,loan_amount_index,previous_defaults,previous_nondefaults,previous_loan_count,cars_in_household,other_vehicles_owned,adults_in_household,children_in_household,market_segment_code,issues_needing_resolution,hmc,application_year,application_month,application_in_first_half_of_month,loan_origination,repeat_customer,mystery_field,loan_default
auto,134,0,0,0,1,3,3,0,ms498,0,0,2022,2,0,website,0,32,0
auto,118,0,0,0,0,1,2,1,ms818,2,0,2022,2,0,website,0,15,0
other,86,0,0,0,0,3,1,0,ms818,1,0,2021,3,1,website,0,121,0
auto,131,0,0,0,2,1,2,1,ms818,1,0,2021,12,1,website,0,171,1
auto,145,0,0,0,2,4,3,0,ms818,0,0,2022,7,0,website,0,209,1
auto,89,0,0,0,0,3,2,0,ms818,0,0,2022,5,1,bank branch,0,126,0
residential,149,0,0,0,1,1,2,0,ms818,2,0,2021,2,1,website,0,42,0
auto,65,0,0,0,1,0,1,0,ms818,0,0,2022,7,0,other,0,20,0
auto,130,0,0,0,0,3,2,0,ms818,0,0,2021,10,1,website,0,228,1
other,114,0,0,0,0,1,1,0,ms818,2,0,2022,4,1,website,0,31,0
auto,121,0,0,0,0,4,2,0,ms498,0,0,2022,7,1,website,0,218,1
auto,198,0,0,0,0,1,3,0,ms498,2,0,2021,12,0,website,0,15,0
auto,138,0,0,0,1,1,3,0,ms818,1,0,2021,11,0,website,0,158,0
auto,100,0,0,0,0,2,2,0,ms818,0,0,2020,7,1,other,0,110,0
other,104,0,0,0,0,3,2,0,ms818,0,0,2021,11,1,website,0,134,1
auto,122,0,0,0,0,2,1,0,ms818,0,0,2022,5,0,website,0,71,0
auto,97,0,0,0,0,3,2,0,ms818,1,0,2022,3,0,website,0,109,0
auto,112,0,0,0,2,2,0,2,ms650,1,0,2021,1,1,website,0,198,1
auto,92,0,0,0,0,4,2,0,ms818,0,0,2022,1,0,website,0,19,0
auto,87,0,0,0,2,3,2,0,ms818,0,0,2021,5,1,website,0,32,0
auto,114,0,0,0,0,1,1,0,ms498,2,0,2021,3,0,website,0,55,0
auto,91,0,0,0,2,2,2,0,ms818,2,0,2021,3,0,website,0,10,0
auto,85,0,0,0,0,4,1,0,ms818,0,0,2022,4,1,bank branch,0,93,0
